"","datetime","city","country","shape"
"59191",2012-06-30,"skowhegan","us","circle"
"46162",2000-05-01,"moreno valley","us","changing"
"38071",2013-03-30,"karachi (pakistan)",NA,"fireball"
"43316",2006-04-25,"biglake",NA,"light"
"24350",2005-12-03,"harrison township",NA,"disk"
"31006",2010-02-02,"pounchatola",NA,"triangle"
"5508",2013-10-27,"lexington","us","triangle"
"5465",2011-10-27,"marshfield","us","triangle"
"12203",2004-01-01,"flowery branch","us","disk"
"25337",1995-12-06,"lynnwood","us",NA
"5675",2008-10-28,"appleton","us","light"
"50034",2009-05-30,"columbus","us","other"
"13881",2002-11-23,"topeka","us","flash"
"61033",1969-07-11,"whitemarsh","us","fireball"
"2805",2003-10-17,"north platte","us","circle"
"47895",2005-05-19,"ledgewood","us","egg"
"8647",2012-11-10,"clinton township",NA,"triangle"
"83502",2012-09-17,"fountain valley","us","unknown"
"53100",2003-06-01,"arlington","us","cigar"
"16216",2014-01-14,"myrtle beach","us","circle"
"38113",2000-03-31,"philadelphia (sw)","us","circle"
"45493",2005-04-09,"yukon city (canada)",NA,"fireball"
"81173",1972-09-01,"onawa","us","disk"
"84850",2007-09-02,"yeehaw junction","us","disk"
"80863",1995-09-11,"las vegas","us",NA
"45476",2004-04-09,"columbus","us","oval"
"18579",2008-01-20,"penns grove",NA,"other"
"48643",2004-05-22,"ojai","us","light"
"30289",2013-02-18,"montreal (canada)","ca","circle"
"17333",2003-01-17,"national city","us",NA
"15615",2007-11-03,"cimarron","us","other"
"86475",2000-09-28,"west manchester","us","other"
"6456",2005-10-31,"turner falls",NA,"unknown"
"8422",2014-01-10,"terrace (canada)","ca","unknown"
"54887",2010-06-15,"knoxville","us","triangle"
"85162",2007-09-22,"martin","us","other"
"25353",1998-12-06,"philipsburg","us","disk"
"14191",2012-11-24,"houston","us","light"
"69259",2011-07-04,"middlesboro","us","fireball"
"41219",1995-04-16,"medford","us",NA
"19031",2010-12-11,"pinkham notch",NA,"fireball"
"49457",2001-05-27,"white hall","us","light"
"84468",1999-09-21,"chatfield","us","oval"
"79081",NA,"eugene","us","unknown"
"65089",2003-07-21,"tucson","us","triangle"
"38516",2008-03-04,"homestead afb",NA,"triangle"
"3352",2012-10-19,"lockport","us","oval"
"67778",2001-07-31,"coleman","us","circle"
"46072",1983-05-01,"washington county (rural)","us","diamond"
"28931",2001-02-12,"cottage grove","us","disk"
"17975",2011-01-18,"lehi","us","light"
"72388",1999-08-12,"international waters (mexico)",NA,"sphere"
"85581",1997-09-24,"huffman","us","teardrop"
"25466",NA,"mexico city (mexico)",NA,"disk"
"87368",2009-09-03,"rio vista","us","cigar"
"88806",2010-09-09,"upland","us","circle"
"66811",2003-07-27,"pasco","us","cross"
"41717",2006-04-18,"yaounde (cameroon)",NA,"diamond"
"60359",2004-06-08,"columbia","us","disk"
"21459",2012-12-20,"legrand",NA,"flash"
"10264",2013-11-14,"gordons bay (cape town)(south africa)",NA,"light"
"31097",2001-02-22,"carroll","us","light"
"69130",2011-07-04,"new york","us","light"
"78703",1997-08-03,"bakersville","us","light"
"64616",2011-07-19,"richmond","us","other"
"70085",2006-07-06,"mohnton","us","rectangle"
"32190",2008-02-28,"reno","us","sphere"
"29290",2001-02-14,"brawley","us","triangle"
"37295",2002-03-26,"maribor (slovenia)",NA,"triangle"
"71269",2003-08-10,"houston","us","triangle"
"75450",2005-08-20,"nazareth","us","triangle"
"4170",1997-10-22,"milford","us","disk"
"1840",2012-10-14,"nanuet","us","light"
"8327",2007-01-10,"council bluffs","us","chevron"
"3933",2012-10-21,"milford","us","circle"
"4392",1992-10-23,"orange park","us","circle"
"4524",2008-10-23,"morehead","us","circle"
"15329",2006-11-30,"hollister","us","circle"
"52193",1969-06-01,"philadelphia","us","circle"
"23494",2005-12-29,"lake havasu city","us","disk"
"52197",1970-06-01,"burlingame","us","disk"
"80616",2000-09-10,"eldorado",NA,"egg"
"25728",2003-12-07,"yokohama (japan)",NA,"flash"
"45499",2006-04-09,"montreal (canada)","ca","formation"
"15404",2013-11-30,"wilmington","us","light"
"16551",2006-11-05,"lake wales (?)","us","light"
"25689",2001-01-27,"glendale heights","us","light"
"40672",2006-04-14,"new york city","us","light"
"23714",2010-12-30,"apex","us","other"
"26956",1999-01-03,"blithe (around; about 15 mins after&#44 heading to la)",NA,"other"
"67941",2011-07-31,"princeton","us","other"
"37303",2004-03-26,"east northport","us","triangle"
"33344",1996-02-09,"whidbey island",NA,NA
"7867",2009-10-08,"shallotte","us","circle"
"19253",2002-01-21,"cisco (just before)","us","circle"
"1870",1952-10-15,"edmonton (southwest of) (canada)","ca","cylinder"
"16091",2010-11-04,"billings-lockwood",NA,"disk"
"79389",2010-08-05,"perris","us","fireball"
"12447",2011-01-01,"seminole","us","formation"
"24615",1999-12-04,"new york city (bronx)","us","light"
"51342",2012-05-08,"clovis","us","light"
"6525",2008-10-31,"ovid","us","sphere"
"59251",1992-06-03,"leeds (uk/england)","gb","sphere"
"32833",2001-02-06,"valencia","us","triangle"
"47726",2006-05-18,"lancashire (uk/england)","gb","unknown"
"84825",2006-09-02,"craig","us",NA
"33127",2014-02-07,"veradale","us","triangle"
"65795",2002-07-23,"los angeles","us","changing"
"1391",2001-10-13,"franconia notch (i-93&#44 southbound)",NA,"cigar"
"33314",2014-02-08,"boulder city","us","cigar"
"56927",2002-06-23,"london (uk/england)","gb","cigar"
"393",2005-10-11,"siloam sprngs",NA,"circle"
"3016",2003-10-18,"knoxville","us","circle"
"5312",2013-10-26,"la porte",NA,"circle"
"7952",2013-10-08,"st. cloud","us","circle"
"24048",2011-12-31,"mesa","us","circle"
"23031",2012-12-26,"new york city (brooklyn)","us","disk"
"52118",1966-06-01,"cambridge","us","disk"
"73423",1975-08-15,"luning (closest town)","us","disk"
"21667",2000-01-22,"aurangabad.maharashtra (india)",NA,"fireball"
"36511",2009-03-02,"cherry valley","us","fireball"
"49040",2013-05-24,"palm desert","us","fireball"
"73916",2005-08-15,"borden/carlton (canada)",NA,"fireball"
"77861",2010-08-28,"rochester","us","fireball"
"28762",2005-02-01,"adamsville","us","formation"
"11280",2006-11-17,"aspen","us","light"
"17816",2006-01-18,"palm beach gardens","us","light"
"44903",2000-04-06,"arlington","us","light"
"53192",2009-06-01,"burbank","us","light"
"65048",1999-07-21,"clarkson","us","light"
"85980",2011-09-25,"florence","us","light"
"65053",2000-07-21,"chula vista","us","other"
"14195",2012-11-24,"galveston","us","oval"
"11841",2008-11-19,"bayside","us","rectangle"
"88232",2003-09-07,"indianapolis","us","sphere"
"36871",2011-03-23,"cranbrook (canada)","ca","triangle"
"39637",2008-04-10,"hague","us","triangle"
"48235",2012-05-20,"dunnville (canada)","ca","triangle"
"25398",2002-12-06,"soda springs (by highway 80)","us","unknown"
"3177",1995-10-19,"rocky point","us",NA
"75304",1995-08-20,"culver city","us",NA
"2631",2009-10-16,"kissimmee","us","triangle"
"88225",NA,"portsmouth","us","changing"
"47071",1997-05-15,"sorrento","us","cigar"
"41397",2012-04-16,"new sharon","us","circle"
"83670",2008-09-18,"crudwell (uk/england)","gb","circle"
"73472",1978-08-15,"steubenville","us","disk"
"21604",2012-12-21,"plant city","us","fireball"
"53898",2012-06-14,"newport","us","light"
"78052",2010-08-29,"baltimore","us","light"
"78062",2010-08-29,"bothell","us","light"
"61398",1978-07-01,"oreland","us","other"
"9475",2012-11-01,"omaha","us","rectangle"
"46925",1966-05-15,"gering","us","unknown"
"62791",1961-07-15,"sapulpa","us","unknown"
"77250",2001-08-26,"seattle","us","unknown"
"6796",2009-10-03,"st. petersburg","us","fireball"
"45536",2009-04-09,"brainerd","us","disk"
"14862",2004-11-28,"edmonton (canada)","ca","light"
"20082",2007-12-14,"mayslanding",NA,"sphere"
"60508",1997-06-09,"holly","us","triangle"
"61248",2012-07-11,"fairfield","us","fireball"
"44351",1998-04-03,"fairfax (gmu campus)","us","oval"
"40740",2011-04-14,"goodyear","us","triangle"
"71100",1962-08-10,"wellington","us","unknown"
"21004",2002-12-19,"kensington","us","chevron"
"55483",2006-06-18,"butler","us","light"
"19496",2012-01-21,"san francisco","us","light"
"32383",2007-02-03,"houston","us","cylinder"
"36799",2002-03-23,"harmony","us","fireball"
"16686",2010-11-05,"oxnard","us","fireball"
"50623",1989-05-05,"sedona","us","other"
"18759",2002-12-10,"frankfort","us","sphere"
"43883",2009-04-28,"crestone","us","fireball"
"47901",2006-05-19,"seattle","us","circle"
"56094",2008-06-20,"philipsburg","us","light"
"1625",1995-10-14,"madison","us",NA
